LAT,,,,,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085
LON,,,,,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721
ASL,,,,,171.000,171.000,171.000,171.000,171.000,171.000,171.000,171.000,171.000
CITY,,,,,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna
DOMAIN,,,,,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4
LEVEL,,,,,2 m above gnd,2 m above gnd,MSL,sfc,sfc,sfc,sfc,10 m above gnd,10 m above gnd
NAME,,,,,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation,Total Cloud Cover,Sunshine Duration,Shortwave Radiation,Wind Speed,Wind Direction
UNIT,,,,,°C,%,hPa,mm,%,min,W/m2,km/h,°
AGGREGATION,,,,,,,,,,,,,
UTC_OFFSET,,,,,1,1,1,1,1,1,1,1,1
Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Total Cloud Cover  [sfc],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2018,11,01,01,00,9.16,93.00,1022.50,0.00,0.00,0.00,0.00,7.64,135.00
2018,11,01,02,00,8.70,95.00,1022.40,0.00,0.60,0.00,0.00,8.71,141.71
2018,11,01,03,00,8.40,95.00,1021.90,0.00,7.00,0.00,0.00,10.99,148.39
2018,11,01,04,00,8.18,95.00,1021.70,0.00,79.00,0.00,0.00,12.41,150.46
2018,11,01,05,00,7.87,94.00,1021.50,0.00,21.00,0.00,0.00,12.39,144.46
2018,11,01,06,00,7.47,95.00,1021.50,0.00,100.00,0.00,0.00,13.55,140.39
2018,11,01,07,00,7.36,94.00,1021.30,0.00,100.00,0.00,3.56,13.61,142.52
2018,11,01,08,00,8.75,88.00,1021.10,0.00,21.00,46.60,105.02,14.02,138.12
2018,11,01,09,00,12.32,74.00,1020.30,0.00,38.00,35.74,242.08,18.12,139.03
2018,11,01,10,00,15.30,63.00,1019.90,0.00,30.00,40.85,338.20,22.39,143.50
2018,11,01,11,00,17.41,53.00,1019.60,0.00,27.00,42.77,412.96,26.18,148.50
2018,11,01,12,00,19.01,46.00,1018.80,0.00,100.00,0.00,430.76,27.87,151.45
2018,11,01,13,00,18.00,54.00,1018.30,0.00,100.00,0.00,172.66,25.15,170.94
2018,11,01,14,00,18.75,52.00,1018.50,0.00,100.00,0.00,165.54,22.90,163.56
2018,11,01,15,00,18.88,52.00,1017.60,0.00,100.00,0.00,85.44,23.59,164.05
2018,11,01,16,00,18.86,52.00,1018.10,0.00,100.00,0.00,25.81,22.18,166.87
2018,11,01,17,00,18.52,53.00,1018.60,0.00,100.00,0.00,1.78,19.30,165.96
2018,11,01,18,00,18.05,55.00,1018.30,0.00,100.00,0.00,0.00,17.90,164.85
2018,11,01,19,00,16.64,69.00,1019.60,0.00,100.00,0.00,0.00,15.14,182.73
2018,11,01,20,00,15.02,85.00,1020.10,0.80,100.00,0.00,0.00,17.11,157.75
2018,11,01,21,00,14.69,88.00,1018.80,1.20,100.00,0.00,0.00,23.23,139.40
2018,11,01,22,00,14.60,89.00,1018.90,0.00,11.40,0.00,0.00,22.74,156.68
2018,11,01,23,00,14.15,92.00,1019.00,0.00,4.80,0.00,0.00,21.41,163.39
2018,11,02,00,00,13.72,92.00,1019.00,0.00,2.70,0.00,0.00,18.60,165.43
2018,11,02,01,00,13.11,93.00,1019.50,0.00,4.50,0.00,0.00,14.00,162.03
2018,11,02,02,00,12.52,93.00,1019.40,0.00,61.00,0.00,0.00,12.41,163.14
2018,11,02,03,00,11.86,95.00,1019.70,0.00,2.40,0.00,0.00,9.96,167.47
2018,11,02,04,00,11.14,97.00,1020.20,0.00,0.60,0.00,0.00,6.84,180.00
2018,11,02,05,00,10.89,96.00,1020.00,0.00,4.00,0.00,0.00,4.33,184.76
2018,11,02,06,00,10.81,96.00,1021.20,0.00,4.00,0.00,0.00,2.10,210.96
2018,11,02,07,00,10.79,95.00,1021.10,0.00,100.00,0.00,1.78,1.14,198.43
2018,11,02,08,00,11.54,93.00,1022.10,0.00,100.00,0.00,88.11,1.44,360.00
2018,11,02,09,00,12.62,90.00,1023.30,0.00,34.00,38.30,233.18,4.20,59.04
2018,11,02,10,00,14.27,82.00,1022.80,0.00,0.60,59.62,325.74,3.60,36.87
2018,11,02,11,00,15.76,76.00,1022.40,0.00,100.00,0.00,408.51,3.05,45.00
2018,11,02,12,00,17.09,71.00,1022.80,0.00,60.00,21.70,358.67,4.35,65.56
2018,11,02,13,00,18.51,55.00,1021.70,0.00,100.00,0.00,369.35,12.10,112.75
2018,11,02,14,00,19.37,55.00,1021.30,0.00,100.00,0.00,276.79,12.59,120.96
2018,11,02,15,00,20.05,56.00,1021.50,0.00,100.00,0.00,207.37,11.72,132.51
2018,11,02,16,00,19.84,58.00,1020.80,0.00,100.00,0.00,129.05,9.73,128.99
2018,11,02,17,00,19.40,59.00,1020.90,0.00,93.00,0.39,16.02,8.67,131.63
2018,11,02,18,00,19.06,60.00,1021.60,0.00,100.00,0.00,0.00,4.90,126.03
2018,11,02,19,00,18.48,62.00,1021.00,0.00,100.00,0.00,0.00,1.14,108.43
2018,11,02,20,00,18.27,64.00,1022.00,0.00,100.00,0.00,0.00,1.08,360.00
