,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,2280125,2282019,2106923,2137225,2113099,2141424,2123920,1990186,2148358,2087896,2095247,2128545,2022312,2098950,1960430,2324193,1914353,1909395,1937599,2012809,2181051,1981835
Luftemissionsart CH4,173,174,154,162,161,159,155,151,155,160,184,187,168,183,191,200,189,171,177,182,203,180
Luftemissionsart N2O,38,37,34,36,35,30,30,28,31,30,33,31,30,33,33,37,32,32,32,35,39,35
Luftemissionsart NOX,3818,3739,3544,3548,3575,3386,3725,3541,3648,3250,3344,3190,2972,3022,2823,3027,2649,2535,2470,2827,2865,2601
Luftemissionsart SO2,1536,1470,1145,1087,969,601,564,516,576,395,415,458,385,460,472,561,363,288,301,291,141,119
Luftemissionsart NMVOC,247,239,218,209,202,181,222,211,223,191,222,175,165,171,171,173,146,174,155,178,212,182
Luftemissionsart NH3,29,32,29,28,28,25,26,25,27,26,26,24,23,26,24,33,20,23,22,22,22,21
Luftemissionsart Feinst10,140,130,115,112,109,92,90,86,96,89,116,81,76,81,79,70,64,72,63,85,102,89
Luftemissionsart HFC,0,0,0,0,0,1308,2078,2103,1748,1678,1362,1268,1524,1122,901,851,870,726,602,627,652,641
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,46051179,44035001,44823550,44371729,44042220,44600946,40450494,38863079,40659486,41320507,38303494,39796455,43410064,43318017,38171789,39374124,41296613,40168896,39686169,40147507,39731023,42613704
Luftemissionsart CH4,895,867,883,877,863,864,783,753,815,864,809,798,895,897,814,840,891,853,837,844,839,1158
Luftemissionsart N2O,651,637,647,620,603,602,530,508,536,517,469,485,539,552,476,496,539,512,499,513,512,539
